time,N1
77.55,1038.37
77.6,1039.77
77.65,1041.17
77.7,1042.56
77.75,1043.96
77.8,1045.35
77.85,1046.75
77.9,1048.15
77.95,1049.54
78,1050.94
78.05,1052.33
78.1,1053.73
78.15,1055.13
78.2,1056.52
78.25,1057.92
78.3,1059.31
78.35,1060.71
78.4,1062.11
78.45,1063.5
78.5,1064.9
78.55,1066.3
78.6,1067.69
78.65,1069.09
78.7,1070.48
78.75,1071.88
78.8,1073.28
78.85,1074.67
78.9,1076.07
78.95,1077.46
79,1078.86
79.05,1080.26
79.1,1081.65
79.15,1083.05
79.2,1084.44
79.25,1085.84
79.3,1087.24
79.35,1088.63
79.4,1090.03
79.45,1091.42
79.5,1092.82
79.55,1094.22
79.6,1095.61
79.65,1097.01
79.7,1098.4
79.75,1099.8
79.8,1101.2
79.85,1102.59
79.9,1103.99
79.95,1105.38
80,1106.78
80.05,1108.18
80.1,1109.57
80.15,1110.97
80.2,1112.36
80.25,1113.76
80.3,1115.16
80.35,1116.55
80.4,1117.95
80.45,1119.34
80.5,1120.74
80.55,1122.14
80.6,1123.53
80.65,1124.93
80.7,1126.32
80.75,1127.72
80.8,1129.12
80.85,1130.51
80.9,1131.91
80.95,1133.3
81,1134.7
81.05,1136.1
81.1,1137.49
81.15,1138.89
81.2,1140.28
81.25,1141.68
81.3,1143.08
81.35,1144.47
81.4,1145.87
81.45,1147.26
81.5,1148.66
81.55,1150.06
81.6,1151.45
81.65,1152.85
81.7,1154.25
81.75,1155.64
81.8,1157.04
81.85,1158.43
81.9,1159.83
81.95,1161.23
82,1162.62
82.05,1164.02
82.1,1165.41
82.15,1166.81
